Reviews,Pos Office Branch,User,Reviews,Rate,tanggal_review
santidakt lambat kirim padahal cuman surabaya bjm lebih 5 hari hedehhh,kantor pos banjarmasin,muhammad hasan,"sangat lambat dalam pengiriman, padahal cuman dari surabaya ke bjm, lebih 5 hari, hedehhh",2,2019-08-11
peyananan kurg bagus tanya jawabn ny kurg enak didentidakr semotidak perbaikn layan,kantor pos banjarmasin,arief yuniardi,peyananan kurg bagus ditanya jawabn ny kurg enak didengar...semoga ada perbaikn untuk pelayanan...,1,2023-08-11
mantap  kirim pelaihari bjm hampir 4hari blm kabar  ,kantor pos banjarmasin,m rafii,"mantap ,, kiriman dr pelaihari ke bjm sdh hampir 4hari blm ada kabar 😂 …",1,2020-08-11
tidak tau baik mana kirim lama sistem onlinenya blm beres kh liat,kantor pos banjarmasin,akn 87,"saya ga tau baiknya dimana, pengiriman lama, sistem onlinenya blm beres kh keliatannya",1,2019-08-11
kalau sih hari sabtu buka jutidak kalau hari efektif senin jum at kan banyak sibuk,kantor pos banjarmasin,muhammad farhan radifan,"kalau bisa sih hari sabtu buka juga, karena kalau hari efektif seperti senin sampai jum'at kan banyak yang sibuk",2,2017-08-11
terimakasih kantor pos atas layan nya makin betah kantor pos sekarang adem cantik2,kantor pos banjarmasin,mutiara86,"terimakasih kantor pos atas pelayanan nya,,,  makin betah di kantor pos sekarang,  adem dan cantik2",4,2019-08-11
layan ramah sama sekali,kantor pos banjarmasin,rayza rizquina,pelayanan tidak ramah sama sekali,1,2024-09-11
pentidaklaman mentidakmbil wu layan cukup bagus  follow ig bakso buburayam banjarmasin,kantor pos banjarmasin,haifa daily,"pengalaman saat mengambil wu pelayanannya cukup bagus ...
follow ig @bakso.buburayam.banjarmasin",5,2019-08-11
barang smpai minggu lalu blum kirim smpai rumah,kantor pos banjarmasin,fitrya mirza,barang sdh smpai seminggu yang lalu tapi blum ada pengiriman smpai kerumah.,1,2021-08-11
parah euy barang udah spp bjm tpi dikirim2 alamat saya,kantor pos banjarmasin,rizki gaiden,parah euy barang udah di spp bjm tpi gk dikirim2 ke alamat saya.,1,2020-08-11
super lambat barang antar kataya 1 hari bom sampe,kantor pos banjarmasin,ariel hariri,super lambat!!!! barang sudah diantar kataya 1 hari belom sampe!,1,2017-08-11
tempat kirim surat beli barang benda pos bayar macam iur bulan rumah tangtidak,kantor pos banjarmasin,mahyudin noor,"tempat mengirim surat, membeli barang, benda pos dan membayar bermacam iuran bulanan rumah tangga",4,2020-08-11
layan nya bagus ramah ,kantor pos banjarmasin,trie noor wulandari,pelayanan nya bagus dan ramah👍👍 …,5,2024-09-11
transit hub dc 70006 yaa,kantor pos banjarmasin,s k y l i n e,ini transit hub dc 70006 yaa,1,2024-09-11
lama banget sumpah kapoke mau dahh pakai pos ,kantor pos banjarmasin,juwita intan,lama bgt sumpah kapok gak mau lagi dahh pakai pos😭 …,1,2021-08-11
kalo hari minggu tetap buka sore jam 3an,kantor pos banjarmasin,kartika eka h,kalo hari minggu tetap buka sampai sore sampai jam 3an!,5,2018-08-11
layan santidakt bagus ,kantor pos banjarmasin,andi ramadhan,pelayanan sangat bagus :),5,2024-09-11
kantor pos baik,kantor pos banjarmasin,ahmad abbas,kantor pos terbaik,5,2024-09-11
beli materai dulu sini,kantor pos banjarmasin,alfian noor,beli materai dulu disini,5,2024-10-11
barang nya tak kunjung datang santidakt kecewa asli kecewa,kantor pos banjarmasin,marwah avm,barang nya tak kunjung datang sangat kecewa asli kecewa,1,2018-08-11
layan santidakt cepat,kantor pos banjarmasin,zalsabila,pelayanan sangat cepat,5,2024-09-11
makin baik kantorpos banjarmasin,kantor pos banjarmasin,shinta sartono,semakin baik kantorpos banjarmasin,5,2024-09-11
layan ramah terima kasih kantor pos banjarmasin,kantor pos banjarmasin,rudi setiawan,pelayanan ramah terima kasih kantor pos banjarmasin,5,2019-08-11
tetap jadi pilih masa masa,kantor pos banjarmasin,akhmad anwardi,tetap jadi pilihan dari masa ke masa,5,2024-09-11
mas klo ngirim barang kalteng mentantidaki brp,kantor pos banjarmasin,hair alaska,mas klo ngirim barang ke kalteng mentangai brp,2,2020-08-11
terlalu ribet syarat nya  lama lama bantidakrut kyak nya,kantor pos banjarmasin,nur fajri,terlalu ribet persyaratan nya .. lama lama bangkrut kyak nya,1,2020-08-11
layan buruk sekali ada rmahanya,kantor pos banjarmasin,akhfa vahrian,pelayanan buruk sekali tidak ada rmahanya,1,2019-08-11
bagus rapi sedia kfc bawah,kantor pos banjarmasin,aislie anantama septiawan,bagus rapi dan tersedia kfc dibawahnya,5,2017-08-11
layan santidakt bagus,kantor pos banjarmasin,ghina yaumil,pelayanan sangat bagus,5,2024-09-11
saran parkir mobil perlu tambah,kantor pos banjarmasin,khairi pahlevi,"saran, parkiran utk  mobil perlu di tambah",4,2018-08-11
knp nomor tlp tdk d cantum kan,kantor pos banjarmasin,ragamura the real refleksi,knp nomor tlp tdk d cantum kan,1,2021-08-11
nomor hp kawa dhubungi lah,kantor pos banjarmasin,hapy kurniawan,ada nomor hp yg kawa dhubungi lah???,5,2019-08-11
tellernya cuma 2,kantor pos banjarmasin,nur sri,tellernya cuma 2,3,2020-08-11
layan ramah cepat tangtidakp,kantor pos banjarmasin,akhmad ramadani,pelayanan ramah dan cepat tanggap.,5,2017-08-11
bagus layan ramah,kantor pos banjarmasin,nana,"bagus, pelayanannya ramah",5,2020-08-11
prantidako sedia sini,kantor pos banjarmasin,loole yana,prangko tersedia di sini,3,2023-08-11
kada kawa kirim hp,kantor pos banjarmasin,adny nizomi,kada kawa mengirim hp,3,2016-08-11
level 5 bener2 hot,kantor pos banjarmasin,jelita azka madina,level 5 bener2 hot!,4,2019-08-11
layan baik ramah,kantor pos banjarmasin,pakde dono,pelayanan baik ramah,4,2023-08-11
santidakt guna masyarakat,kantor pos banjarmasin,arifin12 arifin,sangat berguna bagi masyarakat,3,2017-08-11
tempat antri nyaman,kantor pos banjarmasin,mie ayam dan bakso sidomulyo,tempat antrian nyaman,5,2019-08-11
jelek tidakbisa baca alamat,kantor pos banjarmasin,fitria rahmah,jelek gabisa baca alamat,1,2022-08-11
layan ramah cepat tangtidakp,kantor pos banjarmasin,miftah faqot,pelayanan ramah dan cepat tanggap,4,2017-08-11
lama respon di tangtidakpi,kantor pos banjarmasin,syarif muhammad,"lama, respon gk di tanggapi",1,2019-08-11
sering singtidakh kesini,kantor pos banjarmasin,hairanihafidz hafidz,sering singgah kesini,5,2020-08-11
lantai 1 ekspedisi lantai 2 bayar tagih psajak beli materai  stempel stempel,kantor pos banjarmasin,widya ww,"lantai 1 untuk ekspedisi
lantai 2 untuk bayar tagihan, pajak, pembelian materai & stempel stempel",5,2018-08-11
tempat nyaman luas rapi leges selalu kesini layan jutidak cepat ramah,kantor pos banjarbaru,eko cahyo prabowo,"tempatnya nyaman luas dan rapi, setiap leges selalu kesini, pelayannya juga cepat dan ramah.",4,2025-02-11
banyak ubah lbh baik tempat nyaman layan ramah yang mau urus kantorpos intidakt masuk langsung ambil nomer antri jgn isi form main hp santai2 antri jauh kalo free parkir sih,kantor pos banjarbaru,surapurna,"sudah banyak berubah lbh baik. tempat nyaman dan pelayanan ramah. buat yang mau berurusan ke kantorpos ingat masuk langsung ambil nomer antrian jgn isi form main hp santai2 nanti antriannya jauh🤣.

kalo bisa free parkir sih..👍",5,2022-08-11
tempat luas lumayan bersih proses jutidak lumayan mudah layan biasa ssaja kalau masuk langsung ambil antri ya oiya parkir bayar 2 000,kantor pos banjarbaru,siti rahmahamd,"tempatnya luas, lumayan bersih, prosesnya juga lumayan mudah, tapi pelayanan biasa saja.

kalau masuk langsung ambil antrian ya.
oiya untuk parkir masih bayar 2.000",5,2022-08-11
kesini bayar parkir parkir nya iletidakl letidakl klo salah atur parkir kantor perintah tidak kena biaya,kantor pos banjarbaru,gagan putra,"setiap kesini harus bayar parkir, apakah parkir nya ilegal atau legal? krn klo tidak salah menurut peraturan, parkir di kantor pemerintah seharusnya tidak dikenakan biaya...",3,2025-03-11
6 meja sedia hanya satu layan antri banyak yang mentidakibatkan layan santidakt lama saya,kantor pos banjarbaru,jaya hasiholan limbong,"ada 6 meja yang tersedia, tapi hanya ada satu yang melayani, sementara antriannya banyak.

yang mengakibatkan pelayanan sangat lama bagi saya.",1,2024-08-11
heran dentidakn rating rendah lokeasi ini adalah guna layan pos indonesia minggu sekali perlu kantor kp banjarbaru saya layan santidakt baik buka hingtidak 22 00 kirim selalu cepat banding dentidakn ekspidisi swasta layan cenderung cepat bayar mudah bisa dompet digital,kantor pos banjarbaru,ahmad ghofari,"saya heran dengan rating rendah di lokasi ini. saya adalah pengguna layanan pos indonesia seminggu sekali untuk keperluan kantor. kp banjarbaru menurut saya pelayanannya sangat baik. buka hingga 22.00. pengiriman selalu cepat, dibanding dengan ekspidisi swasta. pelayanan cenderung cepat, pembayaran mudah (bisa dompet digital)",5,2024-11-11
tempat tata rapi cuman layan lambat baik tambah karyawan atidakr lebih cepat karenaa jtidak biasa 2 orng bhkan 1 orng sedantidakan jumlah antri selalu banyak,kantor pos banjarbaru,sari widyawati,"tempatnya tertata rapi .cuman pelayanannya lambat, sebaiknya tambah karyawan agar lebih cepat krna yg jga biasa ada 2 orng bhkan 1 orng, sedangkan jumlah antrian selalu banyak",3,2025-06-11
kode etiknyaaa sebatidaki karyawan nasabah salah satu karyawan laki2 kacamata terlalu kepo dentidakn keuantidakn nasabah lalu nasabah rasa nyaman kes sopan soal layan umum bukan teman lebih profesional dalam layan ,kantor pos banjarbaru,miss gothica,tolong kode etiknyaaa sebagai karyawan ke nasabah! ada salah satu karyawan laki2 berkacamata terlalu kepo dengan keuangan nasabah lalu nasabah merasa tidak nyaman dan terkesan tidak sopan.. ini soal pelayanan umum bukan pertemanan! tolong lebih profesional lagi dalam melayani !!!,2,2024-10-11
lokeet layan 1 layan ramah,kantor pos banjarbaru,yudith trianggono,loket yang melayani hanya 1 tapi pelayanannya ramah.,4,2023-08-11
tempat rapi bersih sejuk nyaman layan ramah muas tiap awal bulan pasti selalu penuh jadi hindar deh urus pas taggl segitu,kantor pos banjarbaru,fangi0207,"tempat rapi,bersih,sejuk dan nyaman,pelayanan ramah dan memuaskan.tiap awal bulan pastinya selalu penuh,jd dihindari deh urusan pas taggl segitu",4,2020-08-11
langtidaknan bayar speddy  pdam sini   layan tintidakatkan ya soal lamban ,kantor pos banjarbaru,miss tixxx,langganan bayar speddy & pdam pasti disini ✅ ( pelayanannya tingkatkan lagi ya soalnya lamban ),3,2023-08-11
layan cepat santidakt mudah tari westren union syarat fc ktp ktp asli,kantor pos banjarbaru,ria agustina,"pelayanan cepat,, sangat mudah untuk penarikan westren union,, syaratnya hanya fc ktp dan ktp asli,,",5,2022-08-11
kawa bayar ledeng sini buka jam 10 malam jar khusus bjb like  ,kantor pos banjarbaru,amirudin sip,kawa bayar ledeng disini ...buka sampai jam 10 malam jar..khusus bjb..like 👍👍 …,5,2023-08-11
layan bagus  ambil uang jumlah besar slalu sedia,kantor pos banjarbaru,muhammad khairullah,"pelayanan bagus ,
ambil uang dalam jumlah besar slalu tersedia",5,2017-08-11
pos indonesia jasa ekspedisi baik indonesia top,kantor pos banjarbaru,ananda fitrian anshary,pos indonesia jasa ekspedisi terbaik di indonesia. top,5,2025-06-11
kntor pos banjarbaru besoke buka kh,kantor pos banjarbaru,kholidd mtp1,kntor pos banjarbaru besok buka kh,2,2025-07-11
sumpah layan ramah bnget senyum 2 nya orng nanya jawab x pda ketus kalau ada urus d stu mnding kntor pos dah batlin saja sklian,kantor pos banjarbaru,hardi saputra,"sumpah pelayanan ga ramah bnget ga ada senyum 2 nya orng nanya aja jawab x pda ketus, kalau ada urusan d stu mnding ke kntor pos lain aja dah atau batlin aja sklian",1,2024-08-11
tiap malam nasi goreng goba makan nya leseh sedia tikar letak depan kantor pos besar dekat murjani  dibbanjarbaru rasa enakk 14k porsi banyak pake telur kerupukk  tempat cocoke nontidakii nontidaki sederhana ala ala leseh gituu ,kantor pos banjarbaru,rr dania,"tiap malam ada nasi goreng gerobakan tapi makan nya bisa lesehan disediakan tikar, letaknya didepan kantor pos besar,dekat murjani , dibbanjarbaru🫶🏻 rasanya enakk,14k porsi banyak pake telur dan kerupukk 🥰 tempatnya cocok buat nongkii nongki sederhana ala ala lesehan gituu.... …",5,2023-08-11
layan buruk antri panjang lokeet 6 buka cuman 1,kantor pos banjarbaru,abi yazid busthomi,"pelayanan buruk, antrian panjang. loket ada 6 yang buka cuman 1",1,2024-08-11
tau harus gimana kantor pos sini ya paket aku kirim guna oneday service layan 24 jm doang ada kantor sejak tgl 18 januari sampai sekarang tgl 28 januari belum kirim parah sumpah tidak bisa berkata2 sama pos sini,kantor pos banjarbaru,ayudesta wardaningrum,"saya gak tau lagi harus gimana dgn kantor pos disini ya. paket aku kirim menggunakan oneday service yang layanannya 24 jm doang, sudah ada di kantor sejak tgl 18 januari, tapi sampai sekarang tgl 28 januari masih belum dikirim. parah sumpah. gk bisa berkata2 lagi sama pos disini.",1,2020-08-11
kejut kirim surabaya 1 hari sampai pdahal pake kilat khusus petutidaksnya humble,kantor pos banjarbaru,adventure camp,terkejut kirim ke surabaya 1 hari sampai..pdahal pake kilat khusus...petugasnya humble,5,2024-08-11
muntidakin kalau kirim barang berkas okeay ya kalau kirim kartu pos rekomendasi kirim lalu pos indonesia soal tidak nyampe entah nyantidakut mana ,kantor pos banjarbaru,rangga pratama,"mungkin kalau kirim barang atau berkas masih okay ya. tapi kalau kirim kartu pos, saya tidak merekomendasikan mengirimkannya melalui pos indonesia. soalnya gak nyampe² entah nyangkut kmn😄 …",3,2023-08-11
lagi urus letidaklisir kantor pos bermaterai,kantor pos banjarbaru,huda,saya lagi ada urusan untuk legalisir kantor pos bermaterai,5,2020-08-11
kantor pos banjarbaru ada dj jalan panglima batur tepat samping kantor samsat kantor pos layan berbatidaki perlu mulai kirim barang pribadi maupun tokeo online jutidak bagi blt bayar lain layan kantor pos santidakt mudah jam operasional laku hari minggu,kantor pos banjarbaru,utari ninghadiyati,kantor pos banjarbaru berada dj jalan panglima batur. tepatnya di samping kantor samsat. kantor pos ini melayani berbagai keperluan mulai dari pengiriman barang secara pribadi maupun dari toko online. juga untuk pembagian blt atau pembayaran lainnya. pelayanan di kantor pos sangat mudah. jam operasional pun berlaku pada hari minggu.,4,2021-08-11
sedia layan kredit pensiun kh,kantor pos banjarbaru,amang shadau,ada menyediakan pelayanan kredit buat pensiunan kh,2,2024-10-11
layan ramah,kantor pos banjarbaru,adi prasetia,pelayanan yg ramah,5,2024-12-11
layan cepat ruang tunggu cukup nyaman tempat parkir lumayan luas,kantor pos banjarbaru,yie srisa,"pelayanannya cepat, ruang tunggunya cukup nyaman,tempat parkirnya lumayan luas",4,2022-08-11
bikin males parkir bayar,kantor pos banjarbaru,luth “luthfurrahman” johari,yang bikin males parkirnya bayar...,4,2022-08-11
gedung lebih rapi paket 1 hari nyampek koke g kabar tracking jutidak jelas,kantor pos banjarbaru,hamdan syarif,"gedung boleh lebih rapi, paket 1 hari nyampek ,kok g ada kabarnya, tracking juga ga jelas",2,2019-08-11
pos juara layan santidakt ramah handak hari apa buka tarus,kantor pos banjarbaru,daniel dwi kurniawan,"pos juara, pelayanannya sangat ramah, handak hari apapun buka tarus",5,2024-08-11
ktanya buka dari jam 8 pagi smpe jam 4 sore ditelp berulang2 kali koke ada antidakat hmmmmm,kantor pos banjarbaru,noona yuna,"ktanya buka dri jam 8 pagi smpe jam 4 sore, ditelp berulang2 kali kok gak ada yg angkat hmmmmm",1,2018-08-11
layan cuma 1 lokeet,kantor pos banjarbaru,noor hikmah,pelayanan cuma 1 loket,1,2024-11-11
- tempat lumayan luas nyaman - customer service nya lumayan banyak ramah,kantor pos banjarbaru,rony mulyan,"- tempat lumayan luas,  nyaman
- customer service nya lumayan
banyak dan ramah",5,2018-08-11
pos buruk tak pas janji bicara ya tidakji tinggi tpi kualitas jelek,kantor pos banjarbaru,shalik farzana,pos buruk tak pas janji  bicara ya......  gaji tinggi tpi kualitas jelek,1,2019-08-11
satpam nya no toleransi mati bpatak sorang sampean pak,kantor pos banjarbaru,lay herman,"satpam nya no toleransi, mati bpatak sorang aja sampean pak",1,2020-08-11
kantor pos banjarbaru,kantor pos banjarbaru,jeruk manis,kantor pos banjarbaru,5,2024-08-11
layan nya cepat mba kasir nya cantik cuy  ,kantor pos banjarbaru,refaii sastra29,pelayanan nya cepat mba kasir nya cantik cuy 😂 …,5,2019-08-11
layan bagus kalo tgl muda penuh,kantor pos banjarbaru,aaa sss,pelayanan bagus. kalo tgl muda penuh...,5,2017-08-11
layan cepat mudah,kantor pos banjarbaru,eka purnamasari,pelayanan cepat mudah,5,2024-08-11
layan bagus cepat,kantor pos banjarbaru,muhammad rizwar maulana,pelayanannya bagus dan cepat,5,2024-08-11
satpam kalo ntidakntuk suruh pulang istirahat,kantor pos banjarbaru,andhika noor aji krisna,satpamnya kalo ngantuk disuruh pulang aja istirahat,3,2019-08-11
petidakwainya ramah semua weekend jutidak tetap buka,kantor pos banjarbaru,meilyft,"pegawainya ramah semua, weekend juga tetap buka",5,2020-08-11
cs nya ntidakpain saja telpon g pernah jawab,kantor pos banjarbaru,iis permata sari,"cs nya ngapain aja, ditelpon g pernah dijawab",2,2020-08-11
perlu mentidakntri lama dentidakn parkir luas,kantor pos banjarbaru,gusti rhf,tidak perlu mengantri lama dengan parkiran luas,4,2017-08-11
layan cs nya kada sopan,kantor pos banjarbaru,nunadi rahman,pelayanan cs nya kada sopan,1,2022-08-11
parkir murah  layan cepat ramah ,kantor pos banjarbaru,chika penelopez,parkir murah . pelayanan cepat dan ramah .,5,2018-08-11
layan bagus tempat bersih,kantor pos banjarbaru,patria peter,"layanan bagus, tempat bersih",5,2021-08-11
custumer service kurang ramah,kantor pos banjarbaru,pram muhammad34,custumer service kurang ramah,1,2023-08-11
dulu pakai pos indoseia  ,kantor pos banjarbaru,mahfu hadi,dari dulu sudah pakai pos indoseia 👍 …,4,2019-08-11
sulit banget hubung cs nya ntidakpain,kantor pos banjarbaru,husni mubarak,sulit banget dihubungi.  cs nya ngapain?,1,2018-08-11
layan baik ramah,kantor pos banjarbaru,nasrullah,pelayanan baik dan ramah,5,2020-08-11
puncak tema alat komunikasi,kantor pos banjarbaru,halimatus sa’diah,puncak tema alat komunikasi,5,2018-08-11
layan santidakt baik,kantor pos banjarbaru,mimoth moranica,pelayanan sangat baik,4,2018-08-11
padat sibuk,kantor pos banjarbaru,muhammad huzairi,padat dan sibuk,3,2020-08-11
ayoo kantor pos,kantor pos banjarbaru,kusno zain,ayoo ke kantor pos..,5,2022-08-11
bagus ramah,kantor pos banjarbaru,abdul gani,bagus... dan ramah..,5,2017-08-11
cukup modern  ,kantor pos banjarbaru,the small ben,cukup modern... 👍 …,5,2018-08-11
sub pa banjarbaru,kantor pos banjarbaru,muhammad riski saputra,ini sub pa banjarbaru kah,2,2020-08-11
layan pt pos indonesia daerah banjarbar santidakt baik bisa undang kelas induksi anak tk jempol pt pos indonesia,kantor pos banjarbaru,tri arum pandan sari,pelayanan pt pos indonesia di daerah banjarbar sangat baik....bisa kami undang untuk kelas induksi anak tk. dua jempol untuk pt pos indonesia,5,2017-08-11
ngirim dokeumen jawa timur kata kasir makan waktu estimasi 4-5 hari pas cek nyata 3 hari dokeumen sampai lebih cepat top,kantor pos batulicin,ferdy akbar,"ngirim dokumen ke jawa timur, kata kasir bisa makan waktu estimasi 4-5 harian, pas di cek ternyata 3 hari dokumen sudah sampai lebih cepat, top",5,2025-07-11
paket 5 hari status pentidakntaran tarus jauh banar kh lwan plsajau kd jelas kantor pos nih,kantor pos batulicin,mustafa subhan,"paket 5 hari status dalam pengantaran tarus, jauh banar kh lwan plajau? kd jelas kantor pos nih",1,2025-06-11
paket status pentidakntaran tp 2 hr sampai,kantor pos batulicin,mahda maria,"paket status pengantaran tp 2 hr tidak sampai""",1,2025-07-28
area parkir lumayan tertib layan nya bagus,kantor pos batulicin,karsa yuda,area parkir lumayan tertib dan pelayanan nya bagus,5,2023-08-11
layan bagus lancar2 saja tpi kurang nyaman tukang parkir padahal markir dsitu ndak 5 menit ndak d bantuin jutidak tetap dsuruh bayar parkir,kantor pos batulicin,febrianty,"pelayanannya sudah bagus, lancar2 aja, tpi yg kurang nyaman, ada tukang parkir, padahal markir dsitu ndak sampai 5 menit, ndak d bantuin juga, tapi tetap dsuruh bayar parkir,",3,2024-08-11
koke paket sdah 3 hri blm antar2 padahal penting bnget mau chat no wanya jtidak tdk ada kenapa pketqw tidaktidakl antar terus klau apa2 wa dong kan no wa tera ,kantor pos batulicin,andi sinta,"kok paket sdah 3 hri blm di antar2 padahal itu penting bnget,mau chat no wanya jga tdk ada,kenapa pketqw gagal antar terus..klau ada apa2 wa dong kan ada no wa tertera😭 …",2,2023-08-11
layak bumn pt pos indonesia tutup manajemen usaha kurang baik terus terus layan buruk rugi netidakra lebih baik tutup sja masih banyak jasa kirim seperti jnt jne cepat dll,kantor pos batulicin,hd official,"sudah selayaknya bumn pt. pos indonesia di tutup, karena manajemen perusahaannya kurang baik, jika terus terusan pelayanannya buruk dan merugikan negara lebih baik ditutup sja toh masih banyak jasa pengiriman lain seperti jnt, jne, secepat dll.",1,2022-08-11
kecewa bget sama pos paket org main buka dan bagi brang ambil jtidak,kantor pos batulicin,almahyra sherin,"kecewa bget sama pos,paket org main buka aja dan ada sebagian brang di ambil jga...",1,2024-08-11
telpon direktur pos di sepele diantidakat gimana pos mau maju layan ssaja itu  tidakji jaspro yang minta naik naik  di sampai sama pimpin cabang kalian mentidakntidakat telpon salam direktur logistik hr adi,kantor pos batulicin,keo com,"yang telpon direktur  pos aja di sepelekan,, tidak diangkat. gimana pos mau maju pelayanan saja seperti itu . gaji jaspro aja yang minta naik naik"" .. tolong di sampaikan sama pimpinan cabang kalian untuk mengangkat telpon  salam dari direktur logistik  hr adi",1,2021-08-11
kalau barang datang telp no hp tera paket beberapa kali barang datang jantidaknkan di antar kabar tidak ada,kantor pos batulicin,kadek sarini,"kalau barang datang, tolong di telp no hp yang tertera di paket,,, sudah beberapa kali barang saya datang, jangankan di antar. kabar pun ga ada.",2,2020-08-11
udah smp batu licin 4 hari lalu ngtidak jelas mau antar apa ambil sendiri padahal alamat batulicin jutidak kan nomor wa paket ngtidak pakai wa apa,kantor pos batulicin,mbah pat,udah smp batu licin dari 4 hari lalu ngga jelas mau diantar apa harus diambil sendiri. padahal alamat di batulicin juga. itu kan ada nomor wa di paket ngga bisa pakai wa apa?,1,2021-08-11
kak kalo barang datang mohon milik barang kabar ulun 2 kali barang di pos batulicin engtidak kabar harus langsung kantor pos sedantidakan rumah ulun jauh mohon tangtidakpannya  ,kantor pos batulicin,galih wahyu,"kak tolong kalo barang datang mohon pemilik barang dikabari, ulun 2 kali barang ada di pos batulicin enggak dikabari dan harus langsung ke kantor pos sedangkan rumah ulun jauh, mohon  tanggapannya 🙏 …",4,2020-08-11
paket stuk sedang antar tuju alamat 2 hari kd antar,kantor pos batulicin,endangsri hartati,"paket stuk sedang diantar menuju alamat, 2 hari kd diantar²",2,2023-08-11
jam buka tutup jadwal dentidakn baik,kantor pos batulicin,calderock gaming,jam buka dan tutup tidak terjadwal dengan baik,1,2025-01-11
kacau byk pungli ngirim paket btl-makassar 95 ribu tidak beres ni pos,kantor pos batulicin,batu licin,"kacau,byk pungli,ngirim paket btl-makassar 95 ribu,gk beres ni pos",1,2020-08-11
layan kasar kayak masalah rumah bawa kantor,kantor pos batulicin,didin qwerty,"pelayanan kasar, kayak ada masalah dirumah dibawa kekantor",1,2022-08-11
mudah n yang respon kami ada pentidakduan,kantor pos batulicin,sendz diyan,"mudah""n ada yg respon ketika kami ingin ada pengaduan",1,2023-08-11
penuh karyawan profesional kerja ciri khas duduk batulicin,kantor pos batulicin,kepy spil,"penuh karyawan tidak profesional dalam bekerja, ciri khas penduduk batulicin",1,2022-08-11
hari minggu buka jam 8 00 12 00,kantor pos batulicin,zull production,hari minggu buka dari jam 8.00 sampai 12.00,5,2019-08-11
klo kendala telpon dong jngn diam,kantor pos batulicin,yuhalil maulana,klo ada kendala telpon dong jngn diam,1,2020-08-11
pa tau berapa nomor kode pos pa,kantor pos batulicin,safarullah safar,pa boleh tau berapa nomor kode posnya pa,5,2021-08-11
kk kode pos nya apa,kantor pos batulicin,putri toledor,kk kode pos nya apa,5,2020-08-11
buka pagi sore,kantor pos batulicin,muhammad yuliadi rahman,buka pagi sampai sore,4,2023-08-11
minta no wa dong ,kantor pos batulicin,valiant shan,minta no.wa dong ?,5,2019-08-11
layan ramah bagus,kantor pos batulicin,nabil pradana,"pelayanannya ramah, bagus.",5,2018-08-11
layan santidakt bagus,kantor pos batulicin,imam sugianto,pelayanan sangat bagus,5,2019-08-11
hari minggu buka,kantor pos batulicin,fredi indra saputra,hari minggu buka gak,5,2019-08-11
kirim cepat kur ramah baik petutidaks lokeetnya jutidak ramah sopan layan konsumen mantap,kantor pos amuntai,fadil rabbani,"pengiriman cepat,kuri ramah baik,petugas loketnya juga ramah sopan melayani konsumen mantap",5,2025-02-11
layan ramah jadi tempat terlentidakap transaksi,kantor pos amuntai,rizky arisandy. g,pelayanan ramah dan menjadi tempat terlengkap untuk bertransaksi,5,2025-02-11
kurir antar paket rumah ramah sll respon cpt jk tanya tntg paket atau ad masalah pd alamat paket keliru terima kasih  ,kantor pos amuntai,rosita ta,"kurir yang antar paket kerumah ramah dan sll respon cpt jk bertanya tntg paket,atau ad masalah pd alamat paket yg keliru... terima kasih 👍 …",5,2024-08-11
mantap paket shopee hari sampai terima kasih pos indonesia baik layan antar ,kantor pos amuntai,irene sesbania,mantap paket shopee saya sehari sampai👍🏻👍🏻terima kasih pos indonesia sudah memperbaiki layanan antarannya …,5,2024-08-11
layan muas santidakt bantu wartidak amuntai baik segi kirim atau bayar dsb,kantor pos amuntai,muhammad baikhaki rmc,pelayanan yg memuaskan dan sangat membantu warga amuntai baik dari segi pengiriman ataupun pembayaran dsb...,5,2023-08-11
layan bagus kirim paket cepet,kantor pos amuntai,ramadhani,"pelayanan bagus, pengiriman paket cepet sampai",5,2024-08-11
layan nya ramah adem nya beli materai dentidakn hartidak murah jutidak,kantor pos amuntai,maulida a'yuna,"pelayanan nya ramah, adem dalam nya. bisa beli materai dengan harga murah juga",5,2024-08-11
layan cepat tempat bersih halaman parkir luas,kantor pos amuntai,syarifudin,"pelayanan  cepat, tempatnya bersih. halaman parkir luas",5,2023-08-11
kirim cepat sampai pentidakntar ny ramah2,kantor pos amuntai,ayulita arsyad,kiriman cepat sampai.. pengantar ny ramah2..,5,2024-08-11
layan ramah tempat bersih nyaman parkir aman,kantor pos amuntai,مناجاة مناجاة,"pelayanannya ramah, tempatnya bersih dan nyaman, parkirnya aman",5,2023-08-11
tempat bersih layan nya bagus,kantor pos amuntai,roos kesumadewi,tempatnya bersih dan pelayanan nya bagus,5,2024-08-11
bang kode pos x brpa pos buntoke ,kantorpos cabang buntok,abhang u,bang kode pos x brpa ya pos buntok ini .....,1,2021-08-11
good service hari minggu tetap buka,kantorpos cabang buntok,tri cahyo kurniawan,"good service, hari minggu tetap buka",5,2018-08-11
layan luar biasa muas,kantorpos cabang buntok,happy grace merllenne,pelayanan luar biasa memuaskan...,5,2023-08-11
